,C,alpha,gamma1,gamma2,kr err,kr result,lsq kr err,lsq svr err,svr err,svr result
0,1000000.0,0.4,0.1,0.1,42221.1588501,79778.8411499,8450479613.32,6308815494.91,0.0821799063415,122000.08218
1,1000000.0,0.4,0.1,0.1,12305.2351529,68881.7648471,8450479613.32,6308815494.91,0.076002527232,81186.9239975
2,1000000.0,0.4,0.1,0.1,57981.273159,57981.273159,8450479613.32,6308815494.91,47971.6396909,47971.6396909
3,1000000.0,0.4,0.1,0.1,41973.3918139,57479.6081861,8450479613.32,6308815494.91,53980.0675288,45472.9324712
4,1000000.0,0.4,0.1,0.1,4001.73907955,67281.7390796,8450479613.32,6308815494.91,5238.39948617,68518.3994862
5,1000000.0,0.4,0.1,0.1,11546.201824,80266.798176,8450479613.32,6308815494.91,0.0903804943518,91812.9096195
6,1000000.0,0.4,0.1,0.1,9565.4013626,90487.5986374,8450479613.32,6308815494.91,0.0961959990382,100052.903804
7,1000000.0,0.4,0.1,0.1,13035.8297848,95235.8297848,8450479613.32,6308815494.91,16316.4065342,98516.4065342
8,1000000.0,0.4,0.1,0.1,30699.7821624,92300.2178376,8450479613.32,6308815494.91,28284.6891173,94715.3108827
9,1000000.0,0.4,0.1,0.1,6293.31475183,79933.6852482,8450479613.32,6308815494.91,0.0754883199115,86227.0754883
10,1000000.0,0.4,0.1,0.1,,59911.6326635,8450479613.32,6308815494.91,,71817.5493655
11,1000000.0,0.4,0.1,0.1,,37980.1081578,8450479613.32,6308815494.91,,59941.3881837
12,1000000.0,0.4,0.1,0.1,,20094.2426491,8450479613.32,6308815494.91,,58871.0543507
13,1000000.0,0.4,0.1,0.1,,8812.98523921,8450479613.32,6308815494.91,,66983.5525402
14,1000000.0,0.4,0.1,0.1,,3194.41226072,8450479613.32,6308815494.91,,76884.3191931
15,1000000.0,0.4,0.1,0.1,,955.829240784,8450479613.32,6308815494.91,,83660.1513874
