,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.2,3.1,3.1,3.0,3.1,3.1,3.0,3.0,3.0,3.0,3.0,3.1,3.0,3.0,3.0,3.0,3.1,3.0
1,3.3,3.3,3.2,3.2,3.0,3.1,3.1,3.1,3.2,3.1,3.1,3.1,3.0,3.1,3.1,3.1,3.1,3.0,3.0,3.0,3.0,3.1,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.1,3.0
2,3.2,3.1,3.1,3.1,3.1,3.1,3.2,3.1,3.1,3.1,3.1,3.1,3.2,3.1,3.1,3.1,3.1,3.0,3.0,3.0,3.0,3.0,2.9,3.0,3.0,3.0,3.1,3.0,3.1,3.1,3.1,3.2
3,3.3,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.2,3.1,3.2,3.2,3.1,3.1,3.1,3.0,3.1,3.1,3.0,3.1,3.0,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
4,3.1,3.1,3.1,3.0,3.0,3.2,3.2,3.1,3.2,3.1,3.1,3.1,3.1,3.1,3.2,3.0,3.1,3.1,3.1,3.0,3.0,3.0,3.1,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.1
5,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.1,3.1,3.1,3.0,3.0,3.0,3.0,3.1,3.1,3.0,3.0
6,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.2,3.2,3.1,3.2,3.2,3.2,3.1,3.1,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
7,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.2,3.1,3.1,3.1,3.1,3.2,3.1,3.0,3.1,3.1,3.0,3.0,3.1,3.0,2.9,3.0,3.0,3.0,3.0,3.0,3.0
8,3.2,3.1,3.0,3.1,3.0,3.1,3.1,3.1,3.2,3.2,3.1,3.2,3.1,3.1,3.1,3.1,3.1,3.0,3.1,3.0,3.1,3.0,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
9,3.3,3.2,3.2,3.0,3.0,3.0,3.0,3.1,3.2,3.1,3.1,3.1,3.2,3.1,3.1,3.0,3.1,3.0,3.0,3.1,3.1,3.1,3.0,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
10,3.2,3.1,3.1,3.0,3.0,3.1,3.1,3.1,3.2,3.2,3.1,3.2,3.1,3.2,3.2,3.1,3.1,3.0,3.1,3.1,3.0,3.1,3.1,3.1,2.9,3.0,3.0,3.0,2.9,2.9,3.0,3.0
11,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.1,3.0,3.0,3.0,3.0,2.9,2.9,2.9,3.0,3.0,2.9
12,3.3,3.3,3.3,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.1,3.1,3.0,3.1,3.0,3.0,3.1,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9,3.0,3.0
13,3.2,3.2,3.1,3.1,3.1,3.0,3.1,3.1,3.1,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.0,3.0,2.9,3.0,3.0,3.0,3.1,3.1
14,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.0,3.1,3.0,3.1,3.1
15,3.2,3.1,3.1,3.0,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.1,3.0
16,3.2,3.2,3.1,3.1,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.2,3.1,3.1,3.1,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.1
17,3.2,3.1,3.1,3.0,3.0,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.1,3.0,3.1,3.0,3.0,3.0,3.1,3.0,3.0
18,3.1,3.2,3.1,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.1,3.0,3.1,3.1,3.1,3.0,3.0,3.0,3.0,3.0,2.9,2.9,3.0,3.0,3.0,3.0,3.0,2.9
19,3.1,3.1,3.1,3.2,3.1,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.1,3.0,3.1,3.1,3.1,3.1,3.0,3.0,3.0,2.9,2.9,2.9,2.9,3.0,3.0,3.0,3.0
20,3.1,3.0,3.0,3.1,3.1,3.1,3.1,3.2,3.1,3.1,3.1,3.2,3.1,3.1,3.1,3.1,3.0,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.0,3.0,3.1,3.1,3.0,3.0
21,3.1,3.1,3.0,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.1,3.1,3.0,3.0,3.0,3.1,3.0,3.0,3.1,3.1,3.0,3.1
22,3.1,3.0,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.0,3.0,3.1,3.0,3.0,3.0
23,3.1,3.1,3.1,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.2,3.1,3.1,3.1,3.1,3.0,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.0,3.0,3.1,3.0,3.1,3.1,3.0,3.0
24,3.1,3.1,3.1,3.0,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
25,3.3,3.2,3.2,3.2,3.2,3.2,3.3,3.2,3.2,3.3,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.0,3.0,2.9,3.0,2.9,2.9,3.0,2.9,2.9,2.9,2.9
26,3.1,3.1,3.1,3.2,3.1,3.2,3.2,3.1,3.2,3.1,3.1,3.0,3.1,3.1,3.1,3.0,3.0,3.1,3.1,3.0,3.0,3.0,3.0,3.0,3.1,3.0,3.0,3.0,3.1,3.1,3.0,3.1
27,3.1,3.1,3.1,3.1,3.2,3.1,3.1,3.1,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.1,3.0,3.0,3.1,3.1,3.0,3.0,3.0,3.1,3.0,2.9,3.0
28,3.1,3.0,3.0,3.1,3.1,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.1,3.1,3.1,3.0,3.1,3.0,3.0,3.1,3.0,3.0,3.0,3.0,3.0
29,3.3,3.3,3.3,3.3,3.2,3.2,3.3,3.3,3.2,3.2,3.2,3.3,3.2,3.1,3.2,3.1,3.0,3.1,3.0,3.1,3.0,2.9,3.0,2.9,2.9,2.9,2.9,2.8,2.8,2.8,2.8,2.7
30,3.3,3.2,3.3,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.1,3.0,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.1,3.0,3.1,3.1,3.1
31,3.1,3.1,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.2,3.1,3.1,3.0,3.1,3.1,3.1,3.0,3.0,3.0,3.0,3.0,2.9,3.0,3.0,3.0,3.0,3.1,3.1,3.1,3.1,3.0,3.0
32,3.1,3.1,3.1,3.2,3.1,3.1,3.0,3.0,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.1,3.0,3.1,3.1,3.1,3.0,3.1
33,3.1,3.0,3.1,3.2,3.1,3.2,3.2,3.1,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.0,3.1,3.0,3.0,3.0,3.0,3.0,3.1,3.0,3.0,3.1,3.1,3.1,3.1,3.0
34,3.1,3.1,3.0,3.1,3.1,3.1,3.1,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.1,3.0,3.1,3.0,3.0,3.0,3.0,3.1,3.1,3.0,3.0,3.1
35,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.2,3.1,3.2,3.1,3.1,3.1,3.1,3.1,3.0,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0
36,3.1,3.1,3.2,3.2,3.1,3.2,3.1,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.1,3.0,3.1,3.0,3.0,3.0,3.0,3.1,3.1,3.0,3.1,3.0,3.0,3.0,3.0,3.0
37,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.2,3.1,3.1,3.1,3.0,3.1,3.1,3.0,3.1,3.1,3.0,3.1,3.1,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
