,11.00-19:00,19:00-23:00,23:00-7:00,7:00-9:00,9:00-11:00
0,35.7,17.3,28.5,9.1,9.1
1,32.1,15.3,34.7,8.8,8.7
2,32.5,15.8,34.3,8.7,8.3
3,32.9,16.0,33.8,8.5,8.5
4,32.7,15.9,34.1,8.6,8.5
5,33.0,16.1,33.7,8.5,8.5
6,32.5,15.7,34.3,8.7,8.5
7,32.7,15.8,34.1,8.6,8.5
8,32.7,15.8,34.1,8.7,8.4
9,32.6,15.7,34.2,8.6,8.6
10,32.6,15.9,34.2,8.7,8.4
11,32.2,15.7,34.5,8.8,8.6
12,32.7,15.8,34.2,8.6,8.5
13,33.6,16.2,33.3,8.4,8.3
14,32.9,15.9,33.9,8.5,8.5
15,32.3,15.6,34.5,8.7,8.7
16,32.6,15.7,34.3,8.7,8.5
17,32.8,15.8,34.0,8.6,8.5
18,32.8,15.9,34.1,8.5,8.4
19,32.5,15.8,34.4,8.6,8.5
20,32.7,15.8,34.2,8.5,8.6
21,32.6,15.8,34.4,8.5,8.5
22,32.6,15.8,34.4,8.5,8.5
23,32.5,15.7,34.4,8.6,8.6
24,32.5,15.9,34.3,8.5,8.5
25,31.8,14.8,35.5,9.0,8.7
26,32.6,15.8,34.3,8.6,8.5
27,32.8,15.8,34.1,8.5,8.5
28,32.3,15.7,34.6,8.6,8.6
29,29.9,14.1,37.3,9.4,9.0
30,32.7,15.9,34.1,8.5,8.6
31,32.7,16.1,34.1,8.5,8.4
32,33.5,16.3,33.3,8.2,8.4
33,33.6,16.4,33.2,8.2,8.3
34,32.8,16.0,34.1,8.5,8.4
35,32.9,16.1,33.9,8.4,8.4
36,32.4,15.8,34.5,8.5,8.5
37,32.5,15.8,34.4,8.5,8.5
38,32.2,15.6,34.7,8.6,8.6
39,31.9,15.5,35.0,8.7,8.6
40,32.5,15.7,34.5,8.6,8.4
41,33.1,16.1,33.9,8.4,8.3
42,32.9,15.9,34.0,8.4,8.5
43,32.5,15.7,34.4,8.5,8.5
44,31.9,15.4,35.1,8.8,8.6
45,32.4,15.7,34.5,8.6,8.5
46,32.2,15.6,34.6,8.7,8.6
47,31.8,15.5,35.1,8.8,8.6
48,32.7,15.8,34.3,8.6,8.4
49,32.3,15.4,34.9,8.6,8.6
50,32.9,15.9,34.1,8.5,8.4
51,32.7,15.8,34.3,8.6,8.4
52,32.4,15.5,34.7,8.6,8.5
53,32.5,15.9,34.3,8.6,8.4
54,32.6,15.9,34.3,8.6,8.4
55,32.6,15.7,34.4,8.6,8.4
56,32.2,15.6,34.7,8.6,8.6
57,32.2,15.5,34.8,8.7,8.6
58,31.9,15.3,35.2,8.7,8.7
59,31.5,15.0,35.6,8.9,8.7
60,33.1,16.0,34.0,8.3,8.3
61,32.1,15.4,35.0,8.7,8.6
62,33.1,16.0,34.0,8.4,8.3
63,33.1,16.0,34.0,8.4,8.3
64,32.7,15.8,34.2,8.5,8.5
65,32.7,15.8,34.2,8.5,8.5
66,32.5,15.7,34.5,8.6,8.5
67,32.4,15.7,34.5,8.6,8.5
68,32.8,15.9,34.1,8.5,8.4
69,32.5,15.7,34.5,8.5,8.6
70,32.5,15.8,34.5,8.6,8.4
71,32.6,15.8,34.5,8.5,8.4
72,32.2,15.7,34.7,8.5,8.6
73,31.5,15.4,35.4,8.7,8.7
74,32.5,16.0,34.3,8.4,8.6
75,31.8,15.9,34.8,8.6,8.6
76,32.6,16.1,34.1,8.4,8.7
77,31.7,15.7,34.9,8.7,8.8
78,31.4,15.5,35.1,8.8,8.9
79,31.6,15.6,35.0,8.8,8.7
80,31.5,15.6,35.0,8.8,8.8
81,31.6,15.4,35.1,8.9,8.8
82,31.7,15.5,35.0,8.8,8.7
83,31.3,15.4,35.2,8.9,8.8
84,31.0,15.3,35.6,8.9,8.9
85,30.5,14.9,36.2,9.2,9.0
86,31.3,15.6,35.1,8.8,8.8
87,31.1,15.3,35.4,8.9,9.0
88,30.4,14.7,36.4,9.1,9.1
89,31.1,16.9,34.4,8.7,8.6
90,34.7,19.3,30.5,7.5,7.8
91,32.2,16.8,33.7,8.5,8.6
92,32.0,16.7,34.1,8.6,8.4
93,32.3,17.0,33.6,8.4,8.4
94,32.1,16.7,34.0,8.5,8.5
95,31.2,15.7,35.2,8.8,8.8
96,32.6,17.9,32.7,8.3,8.2
97,32.4,17.1,33.5,8.4,8.4
98,32.3,17.0,33.6,8.5,8.4
99,32.1,16.7,33.9,8.5,8.6
100,31.8,16.6,34.2,8.6,8.5
101,31.8,16.3,34.5,8.7,8.5
102,33.2,15.9,33.8,8.5,8.4
103,33.0,15.6,34.1,8.6,8.4
104,33.1,15.7,33.9,8.7,8.4
105,33.3,15.9,33.7,8.6,8.3
106,31.7,16.4,34.2,8.8,8.6
107,32.3,16.8,33.6,8.5,8.6
108,33.6,18.1,31.9,8.0,8.1
109,32.5,17.1,33.2,8.4,8.5
110,32.5,17.0,33.3,8.5,8.4
111,32.8,17.4,32.9,8.3,8.4
112,32.1,16.9,33.4,8.6,8.7
113,32.4,16.7,33.5,8.4,8.7
114,32.2,16.7,33.8,8.4,8.7
115,33.0,17.8,32.4,8.1,8.4
116,32.2,16.8,33.6,8.6,8.5
