11.00-19:00	19:00-23:00	23:00-7:00	7:00-9:00	9:00-11:00	high	low
991504	482504	793016	253120	253160	30	26
944592	451352	1020928	259760	257160	30	25
812560	396680	858720	219400	209120	31	26
958512	467872	983280	248400	248600	33	27
959232	467872	999560	252800	248920	33	27
1028256	502976	1048400	264840	266200	33	26
1016784	492480	1072584	273856	267344	30	26
1005776	487376	1050840	266160	263480	32	25
1002232	486112	1045968	266376	260040	31	26
994136	478280	1042624	263560	261888	31	26
983520	480680	1029824	262328	254440	32	25
957800	466936	1023264	261944	255800	32	25
861352	416856	901328	228888	225544	30	25
985248	475904	976888	248424	245608	31	25
1005176	486176	1033384	261272	260480	30	25
993344	480144	1061984	268840	267608	31	24
987800	476520	1039192	264352	259072	31	26
995280	481272	1033208	261360	258984	32	26
981992	478104	1021680	255992	252648	32	25
946528	461560	1003200	251416	247896	31	25
989120	480656	1034792	258016	260920	30	24
994344	482504	1050800	260744	260192	30	26
1009096	489016	1063832	265408	263648	32	26
1022912	495440	1084952	272272	270776	33	27
1031448	504944	1090848	271480	272448	34	27
941880	440800	1052416	266864	259120	32	26
744392	361328	783288	198000	194744	32	26
935480	451000	971960	242088	243848	32	25
911592	443344	976312	242880	242704	32	26
721800	342400	901560	227120	219240	32	26
620504	302104	646712	162800	163152	31	25
621808	306240	647680	162928	160072	31	26
663944	323744	661016	163584	168168	30	24
817912	400048	806040	200240	203280	27	24
899760	438416	934528	234456	230680	29	24
935168	456768	963040	240360	239800	30	25
922064	449904	983320	244360	243520	30	24
951192	462704	1006280	250272	249480	30	25
937024	455312	1007072	251152	250800	29	22
896808	436832	984280	246136	244024	28	20
830808	403128	880264	221936	215336	24	18
890736	434016	912912	228536	224136	26	20
914432	443104	944152	233640	235752	28	22
918000	444792	971680	241880	240400	30	23
869088	420992	957000	239976	234168	30	22
857512	416872	914576	229096	225520	30	23
825112	401456	887120	224080	221680	31	22
717464	350592	792288	198512	195976	31	22
839872	406912	880112	222168	215952	30	22
831024	397936	897144	222288	221112	29	23
867680	420728	899888	224752	221672	30	23
890296	429968	935176	234080	230560	30	24
883432	423632	945736	234520	232672	32	24
